Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
"Ziri dragged Rima away, kicking and screaming.",ziridragg  edrimaaw ay kicgin ga ntzc leaming,,siriantlim aztalt  et coukhing,Alternative1
I heard what happened.,wazgo imgon ihea ld w hathapp,i to ldhimw hat,enet,Alternative1
Ziri is injured.,z ir ihazbeenz hot ziriisin jur ,,et,Alternative3
Sami looked at Layla's hair.,zamilook edat ray la sha,s aniwazp ulli ngrayla shair,ir,Alternative2
You completely disappeared.,ed erytisabbealed  youd,youc ompl,idnt niss nuch,Alternative1
Lorenzo was afraid of confronting that intruder.,zil iscareta waydhegaz e rre lorenzowasafra idovcomf rontimgt,,  hatindru  del,Alternative1
He studies maths.,hez tud iezm adhs,,itwi l rpea written mat hsexam ,Alternative1
Your spark plugs need to be changed.,ha nged you lnimd yo u lsb alkplugs need tobecha mked,yousho uldvec,ime etdocha n geno w,Alternative3
I would have done that by myself if I'd known how.,difidgnow m i hadto iw ouldh av etome thatbymysel,itha vet on eth a,f  ivi  dkno w nhow,Alternative1
You're who I've been looking for.,vepe e mlooking vor  y ouberon gt ome,y oulewhoi ,,Alternative1
Tom finally mustered up the courage to ask Mary to go out with him., edupth e courag edoask mary tog o o utwithhim  tom breadet with mar,domvim ar lym usdel ,yno dtole ave,Alternative1
You're the one I like.,h eoneili ke,y ou ret,i lik ethe wa yy out leatme,Alternative3
Tom didn't want Mary to go to Boston with him.,tom di dn  dwan d maryto godopost onwith hin,dom d idn  tw antmarydo gotoposd on,itol tt om he shouldmt g  odoposto nwi thnaly,Alternative3
"In the heart of the city, there is an institution with a golden history.",ez in th eh ea r tof thec ityth eleis a ninztidudiomwidha golde n hiztory,wmraybulied for cem duri,dhe c ity ovn akowasacemdl  efor thec ulti  fationo fomiomz,Alternative1
"To tell you the truth, I was not pleased with the book.",druthi was mo dbreased  wi t hthebook  id ef im itelydon twamtt oleaddhat,t otelr you th e,,Alternative1
Yanni heard his dog screaming and whining.,arda rusdl ink imt hebushez yammi hear dhiz togscleam imka mdwhin ing,ya mnihe,i can hearthed ok sno ring,Alternative3
Tom never raises his voice.,t onnef erraise s hisfoic e,,domnevelbe a tsme ,Alternative1
It's a little late for that now.,er eina bid ofahulryn ow itsalit trel at evo rtha tnow,w, ,Alternative1
"It's not much of a surprise, is it?",itz nodm uc ho  fazu lp lise,youshou ltntbesurp  lizet,isit  h ezlea,Alternative1
The internet is full of trolls.,dhei nt ernetizvu lloft  rorrz,a bl ettetmedlaris wr ingly,rim awasri vit,Alternative1
Tom wanted Mary to apologize to John.,t o nw andetnary toapol oki ze tojohn,,tom choseto volkive na ry,Alternative1
Sami turned his life around when he married Layla.,me thizl ifea roumdw henhem alrietl ayra,za mi tur,t hadzwhens a mifoundout dhat  r aylah at pee nha fimganaffail,Alternative1
Did you go to the cinema yesterday?,did yo ug otodhec imena ye sterday,d ityo uwadcht hema dchomtelevi sio n,di d you enjoyyo urselfesyesdelday,Alternative3
That was really scary.,itsglotezque thatw asrearl ysc ary,,t had zsca ryan thirariou satdh esanetine ,Alternative1
You need to be nice to Ziri.,o u n eet tobe mice toziri  sirineedsazc re wtli vel,y,,Alternative1
Could you please speak faster?,couldy ouple asespeakv as ter,ca my ouzp eakmoreslow ly,  c o,Alternative1
I'm sorry for the trouble.,im z orryvor d hedrouple,i apolokizedprovu sely,il eal lyamzor ry,Alternative1
I'm going to have to dye my hair.,mgo im k toha vedo  dyeny hail,ffmyhat i,i fegott agodothe pa thloom ,Alternative1
Colds are a common disease.,ca dch escold c ortsale a comnom,heeasily,d isease,Alternative1
Tom and Mary almost did that when they were in Boston.,ryigrew upinpos to mjustli kedh eydid dona nd m ar y alno  sttitdh atwhentheywe rei,te lldom am dma,nb ostom,Alternative1
"Even though she's in the afterlife, her ghost appears to me every night in the bedroom.",elo ok z tobeimmyhous e ef ent hough she zi ntheafde rlif  e  herghozd ap  pearztomeevel ynight indhepetroon,z h,mar yrookza sifzhe ss e  ema ghost,Alternative1
You can't stick your head out of the window. It's dangerous.,ca nt sti  ckyou rheado utof dhewin towidsd amker ous  pl eaze closey ou rwintowit sgettin,you,kchilry,Alternative1
Tom is likely to still be lost.,i kel ytoz t irrbe  lozt  to mwi llpezadry nis sed,tomisl,,Alternative1
Algeria has military forces.,arger i a hasmi ridaryforcez,,i rofealgeria dearl y,Alternative1
Mary says she thinks she needs to do that.,nar ysayss heth imkss hen  eedst od,naly zay s shewa nd st odothad,othat,Alternative1
I'm flying in an airplane.,i mfl yi ngin ana irplane,,isdhe r eadoc to  ronthe plame,Alternative1
Tom persuaded Mary to go to the dance with him.,t ompersuatedma l yd ogodo dh  edance  withhim,t ompe l suade d naryto kododhepa rty,t oms eeneddobeha vimgf undamc i mkwid hn ary,Alternative1
A group of young men are playing handball in the playground.,a kr o ub ofyo umgmemarepl ayimgha ntpall imdh e  pra ykround,t heboys p laye di nthenut,,Alternative1
Tom Jackson was appointed chairperson.,fice tomj acksom wa sappointe,n ichae rwascalled im todheprincipal zov,dchairpe lsom,Alternative2
Sami has no reason to feel uncomfortable., o re asondofeelunc onfoldable  sa nihasnore,sam i hasn,gre tz,Alternative1
I didn't know I'd hurt anybody.,oanyone iz ididntgno wi  dh,ido m d gmowwh,ulta nybod y,Alternative1
Tom said he'd never planned to live in Australia for so long.,to mzaithesmef el beentoau straria tomsa idhe t meverplan ned tolive imaus d la lia vor solonk,,to m h obez  th athe doesmth a feto liveimauzt  raliavo  rmolethanayear,Alternative3
"Yidir, who's also from Algeria, is our guitarist.",rz ofr o malgeriai sourkui darizd,g eria yi dilw hosa,donisourl ead k uitari sd,Alternative1
Sami closed the app and reopened it.,za microsed d he app antreob enedid  sam ip ull edth edoorb utit revuse dt oopen,samis b acgdoor isopen ,,Alternative2
What good is a car if you can't drive it?,od isa ca lifyo ucan tdrifeit   ih,wh ad go ,ave no cal,Alternative1
I'm going to Australia this month.,i mkoin gtoaus  tra  r iathismomth,iwo m tgotoauz trali  athi zyeal,,Alternative1
Tom has been awful.,b eenaw fu l  do misp rasdered,domhaz,,Alternative1
I'm working on another book.,im w o rgi ngon amotherbook,,lea dnorebook s,Alternative1
Tom was just a child at that time.,to muzedto do th adw henhew a zagi d to mwa sju sda chirda dthad,, t ime,Alternative3
She didn't remember to pay her rent.,she ditn trenenbe rt o  payhelrent,shefor kothe rzw eader,he meferfo rk etzhiz momey,Alternative1
Tom has given me something I don't want.,tonha sg if   enmezom ethingidondwan t,i dom tw amtd oea twh atto mm adef orme,d omg et samything hewants,Alternative2
Ziri didn't tell Rima his true name.,tidntte rl rima  hist ruemame  ziri call edrim abuts h edidn,sir i,deve nbic kup,Alternative3
I know that Tom won't ask you to do that.,g now domwomdbeto in gt hat i knowthad  tomwo n  dazgyo u todo dhat,i ,ikn owdhatt  omwo uld nda gre et odothad,Alternative3
I love the music in this level.,ilo fe dhenusi  cinthisl  efel,iro veaine rzmu sic,,Alternative1
"""Are you Serbian?"" ""Yes.""",al eyo uzelpiany  es,h owzyoulc ousc ous itsdelicious,,Alternative1
"Since the traffic was light, we made good time driving to the beach.",zi m ce the tlavfi cwa slikhtw enadekoo ttinedriv ink  do  thepea ch,inenjoy ingm yselfo mt hebeac h,,Alternative1
Tom smiled back at Mary.,le tba cka tmaly  mal,do msmi,yberadedto n,Alternative1
She looked shocked., loogedshocked ,she,zh eparked,Alternative1
Sami arrived at work.,zamiis work img on it samial rived,,at  wolg,Alternative1
Please don't open the train doors until the train has stopped.,p leas eh olddheto o robenforne blea sed onto penthetr a i mdoorsu nt,,ilt hetraimhass t opped,Alternative1
Ziri is still in bed.,z ir iissd illi nbed,si r iiss reebing onrima scouch,zi rido ez nthav ethizamymore,Alternative1
She was steaming with anger.,h e wasblazi mgwi thangel zh ewa zsteami ngw idhanger,,herchee gs burned withsham e,Alternative3
She doesn't know what she has to buy.,she doe znd kn oww hatshe ha stobuy,,ididm d gnow howmuchmo me   yiwasgoi nk tom eed,Alternative1
Ziri sprinted down the flat road.,sir isprinte ddow n dhefl adlo  ad,zi rir  anovfvromthe roa d,,Alternative1
Everyone in that town has become a vampire.,eve ryoneim thaddo wn h asbec  omeavampire,d heb u ildin glooksdow nonthewh oled own,t hetowml ayburiet vorcen tur iez,Alternative1
Try to understand her.,trydound er stand her,yo ureconvusinkhe l,s hezaits he underzdood,Alternative3
It's getting to be frustrating.,idz gettinkdobe v luzt rati ng,,i nferydizcontend et,Alternative1
The Algerian region of El Tarf is known for its swampy forests.,d healke lianrek iomof elta rfizknow mv olit s  swampyvore stz,algeri ais aw alncoumdr y,thegro umtimnor  ther nargeriaisbar dicularry  ferdile,Alternative1
There were no signs of life on the island.,arlofalgeriasis lan dsareu minha bitet the r ew ere moz ikms o fli feonth,,eislamd,Alternative1
I've never seen Tom hit anyone.,emev erseend omh ida nyone  to nneve,i v,l beatsne,Alternative1
Love makes us suffer like dogs.,lo  vem ake zu ssuffe lrikedogs,,im i szthelove an davf e cti oni usetd ohafe,Alternative1
I know Tom is a better skier than Mary.,ik nowdon iza bett er sk iel thanm  ary,,to miz a muchbettel swimm e rt hannaly is,Alternative1
You might want to get in on it.,y  oumik htwamtt  oket i  nomit,,it houkh tth  atyoun ighdwamt it,Alternative1
"I hate working out, but I know it’s good for one's health.",ihat eworgi mkout p ut  i kmowid’ sgoo  tf olonezhearth  r unn ingi sago o,exercise isb y f arthe  ea siestway toinprov eo ulhealth,tzbolt,Alternative2
You seem to be always assessing what people think about you.,yo useen tobe alwayz azseszi mg wha d peoplet hinkab oudyou  you z eent oh ave alotomy oulmimd,imarway zthimki nga po utyou,,Alternative2
Tom didn't think our plan was very good.,dondi t  nd thin gourplan w as velygood,,itwa scle ar to md idm  tplantoto thad,Alternative1
I'm only on the first tier.,i nonr yon dhe fi lsttier,i veonryjus tbe gum,iju stray the re,Alternative1
There's a back entrance.,dher esabac ge ndlance,dhe doo risondh e l atch,y ourfr o ndg adeizopen,Alternative2
Tom thought that Mary was the most beautiful woman in the world.,d omdh oughtd hat  mal  ywasd h emostp eautifurw onaninthewolrd  tom dort me dha dheth ou ghdmarywash ot,tom tol tmehedh oughtmaly was unbea  table,,Alternative2
Such a bad custom should be done away with.,su ch abadcus ton s hourdb edom eaway with  her,ihave todo this  fo rher o  wngood,e i stheba,Alternative1
Tom is going to see it if you leave it there.,domizk oi ngt os e ei tivyoule av  e itth ere,tom is goink tos ho w  youhowdo d oit,,Alternative1
Mary hasn't yet told us what she wants.,na ly h az ndy e dto lduswhatsh  ewamds,m aly wo ndd e lluswhadz hegmows,,Alternative1
I wonder why Tom cried.,i wo nderwhydomcr  i ed,ik noww hy tomgodme lfous ,,Alternative1
"Hopefully, we'll see Tom today.",llywerl seedom toda y  donma ycome dot ay,hope fu,,Alternative1
Tom and Mary needed someone they could trust.,l yme edetsomeom etheyc o uldt lust  to nantn alydefin,tonandm a,itel ytezelved what theygod,Alternative1
Yanni continued his hike.,ya mn icomt inuethishike  yannicontimuedt oblot ezdhisi mn oc enc,yamm is l id acrossdheroad,e,Alternative2
"But above all, fraud must be punished very severely.",b udabove all f raut muz dbepun ishe tferyseferely,imu stcon fessm yc rime,despid eallhiswe a lth he is ztimgy,Alternative1
Mary kissed him smack on the lips.,kizsedhim smack  onth elibs  z hec hewedh erlip,na ry ,,Alternative1
Show your own business.,veju zt mi ntedmyownbusi ness show y ourown pusinez,isho ult,z,Alternative2
Ziri ordered roses.,ol tel edroses  zi lisho wetdhelea fledt ori na,zili,,Alternative2
Mary didn't touch her food.,malyti dn tto uchherfoo t  t,m arysaiddha tsheenj oyetth e v ood,heyt,Alternative1
I know that Tom didn't do so well.,ik mowt ha  dtondidnt  dosower l,ikno wt hadt omt idm dknowh  ewas nts ubposed todo that,,Alternative1
Asian carp is cheap.,asiamcar pis che   ap,them ead ise xpemsive,,Alternative2
I apologized profusely.,imsolr yf ord hetroubre ia porokisedplofuze ly,,iwantet doa bol oki  zetothen,Alternative3
Today I went to the dentist's.,yiwe mt tothete ndists  inee dtoothbas de,to d a,,Alternative1
I'm just having fun with you.,i nj us thafingf unwit hy  ou,idgla dlyk owith  you,,Alternative1
How come you appeared like that?,ho wcon eyouappea re  d lig edhat,w hyizitl ike t hat,,Alternative1
They are debating whether to close the school.,t heyaredepa ting whet herd oclozed hesch o  ol,theygot o n urzery school,,Alternative1
I really enjoy working with Tom.,reallyem j oywol kingwi  thtom  imate a tea lwid ht om,i,,Alternative1
I always want to know what's going on.,ppen ia l way swantdokn ow what s,iwamtdo gn oww ha tskoin gt oha, goingon,Alternative1
Algiers needs a better sewer system., elia me etstor aizesararies arkie rzmeetsa betd elz ewersys tem,ark,a lgerianeedsd ole  tuceitsgre emhouseem issions,Alternative3
Ziri bought fungicides to treat his ivy.,silipou ghtf  ungicid estotr  eath isivy,,s ir iw ent behi ndabuzhtorelieveh ims erf,Alternative1
"When sleeping children don't breathe properly, it can lead to serious behavioral and emotional problems, according to a new study.",dh a tch irtmu rmuledsomed hinkinhissleep whemsleepin gchirtl ento ndb lea thebrop ell yidcan leatdoser  iousbehavioralant em  odi ona lbr,,oblen saccord  ingto amewstudy,Alternative1
"He was never short of a sagacious saying or two, that Confucius!",he wasneversho rto  v asagaci  ousza yinkor  dwothat convucius,,h e za ysheznef ercriet,Alternative1
I've got a problem here.,ive g otap robremhe re,i mh afingdifficulties,ihavedh adbr opre mt oo,Alternative3
"Tom plays the drums, John plays the guitar and Mary sings.",doma n dnarywills imk dog ether to mblay s thetluns john praysth eg uitalan dma r ysimks,,to mamt na  rycan treadnuz icz othey p  raythep iam obyear,Alternative3
"He speaks, people do not understand him.",h esbe agsbe obledonodu n derstandh im,thiz is zo meth i mgnanybeopledomtunte lztand,the ydo ndunterstandamyd himg,Alternative1
She is my classmate.,yc la ssmad e,sheizm,id oo khi nform ycrosevr  iend,Alternative1
She told me not to wait for him.,h etor dme nott  ow aitvorh im,s,s hetit mtexpect ida t all,Alternative1
I won't be able to understand it.,i wond beabl edoun d ersd andit,ico uldn tfigurei t out,c am dyouumterstamt,Alternative1
People are disappointed at the number of angry participants.,isap pointedad the n umbelofangrybar ti cipan tz  some b eob leindheau tiemce ev enshedde ars,beoble alet,,Alternative1
Maybe that was the last one.,th at wa sthera ston e,naybe,th a twasploba b lywh atisaw,Alternative3
Can I use my laptop in the bath?,cami u se my raptobint  heb ath  wh y,mayi s ito ny oull ap,toezthep h,Alternative1
"I thought about heading over to Tom's, but decided not to.",i t houkhtab outh  eadingove ld  otoms budtec itetnoddo  itom ddhi mk,ton and ivet ecid edmottoto tha tt o gethel,t ha tdom hazto deci,Alternative1
"Hundreds of thousands of people joined teenage climate activist Greta Thunberg for a march in Montreal Friday, part of a second wave of global protests demanding action on climate change.",hund retsoft  hou sandsof peo pl ejoine dteenagecl i nateactiv istkretathunbe lkf ola ma r chinmontre  alv lidaypart o vasec ontwafe  ofglobalplodezdz   dema  mdingacdiomonclimatechange,atthistine ofpa nde mic framcizarzor emimde d dheworrtanda z  kedfolpl ayelzforthe vic  ti ms ofviolenc eagain stw o  nenfo lyounkchildlemamd ado  rezcendsz u  fferinkvr om bu llyimgandabuse an tfol theerderry,t hepa nde mich as ledtoadro pinail po ll udion arountt h ewolld,Alternative1
"He has been busy, hasn't he?",he sobnoxio usi snthe heh asbeenpu zy h a,,snth e,Alternative1
Isn't that just a prairie fire?,iz carneli an avlower izm t thatju sd ablai,,r iefire,Alternative1
I know Tom and only Tom can do that.,kn ow do  mantonl yd omca m dodhad  o nlytomis cap a bleofthad,i,,Alternative1
Mennad knew that Baya was cheating on him.,nemma dism udsap ou tbaya nennadkne wth  atb ay awaschea  tingo,,nhin,Alternative1
